scenario,dataset,algorithm,total_submitted,total_completed,edge_completed,cloud_completed,total_incomplete,completion_ratio,edge_execution_ratio,cloud_execution_ratio,avg_waiting_time,avg_execution_time,avg_turnaround_time,avg_wall_clock_time,makespan,throughput,avg_cost,runner_wall_clock_ms,run_file
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,QCLAR,298,298,298,0,0,1.0,1.0,0.0,20670.8449,708.6482,21379.493,21379.493,56938.84,0.0052,1133.837,78,iQuantumSummary-no_stress-15-04-2026_16-13-46.csv
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,QCLAAR,298,298,298,0,0,1.0,1.0,0.0,20670.8449,708.6482,21379.493,21379.493,56938.84,0.0052,1133.837,63,iQuantumSummary-no_stress-15-04-2026_16-13-46.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,Lottery,1133,1133,1133,0,0,1.0,1.0,0.0,325167.4277,1799.3494,326966.7771,326966.7771,1015849.11,0.0011,2878.959,175,iQuantumSummary-no_stress-15-04-2026_16-13-46.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,FCFS,1133,1133,1133,0,0,1.0,1.0,0.0,833153.2232,1521.4151,834674.6383,834674.6383,1723763.32,0.0007,2434.2642,98,iQuantumSummary-no_stress-15-04-2026_16-13-46.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,LoadAware,1133,1133,1133,0,0,1.0,1.0,0.0,179590.106,1621.4964,181211.6024,181211.6024,451395.96,0.0025,2594.3943,95,iQuantumSummary-no_stress-15-04-2026_16-13-46.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,QCLAR,1133,1133,1133,0,0,1.0,1.0,0.0,179791.2822,1626.5665,181417.8486,181417.8486,469156.98,0.0024,2602.5063,106,iQuantumSummary-no_stress-15-04-2026_16-13-46.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,QCLAAR,1133,1133,1133,0,0,1.0,1.0,0.0,179791.2822,1626.5665,181417.8486,181417.8486,469156.98,0.0024,2602.5063,100,iQuantumSummary-no_stress-15-04-2026_16-13-46.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,Lottery,5818,5818,0,5818,0,1.0,0.0,1.0,7129014.1662,10877.8987,7139892.0648,7139892.0648,16160630.16,0.0004,17404.6379,6277,iQuantumSummary-no_stress-15-04-2026_16-13-46.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,FCFS,5818,5818,0,5818,0,1.0,0.0,1.0,122201757.4023,42106.8231,122243864.2254,122243864.2254,244977497.04,0.0,67370.917,6475,iQuantumSummary-no_stress-15-04-2026_16-13-46.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,LoadAware,5818,5818,0,5818,0,1.0,0.0,1.0,9494714.8954,19803.2613,9514518.1566,9514518.1566,39901714.68,0.0001,31685.218,5580,iQuantumSummary-no_stress-15-04-2026_16-13-46.csv
